16:07:46.896 | INFO | 01: | 23488:ExpressionDBWebAPI | Start WebAPI | Program | Void <Main>$(String[]) | 40 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 5559608 B
16:08:47.830 | WARN | 05:.NET TP Worker | 23488:ExpressionDBWebAPI | Failed to determine the https port for redirect. | Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware |  |  L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 8262664 B
16:08:48.333 | INFO | 05:.NET TP Worker | 23488:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9158288 B
16:09:04.504 | FATL | 17:.NET TP Worker | 23488:ExpressionDBWebAPI | Timeout expired.  The timeout period elapsed prior to obtaining a connection from the pool.  This may have occurred because all pooled connections were in use and max pool size was reached. | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9540024 B
16:09:04.506 | INFO | 17:.NET TP Worker | 23488:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9549016 B
16:09:05.018 | FATL | 05:.NET TP Worker | 23488:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9628320 B
16:09:05.018 | INFO | 05:.NET TP Worker | 23488:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9636288 B
16:09:05.020 | FATL | 05:.NET TP Worker | 23488:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9701640 B
16:09:05.025 | FATL | 17:.NET TP Worker | 23488:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9726312 B
16:09:05.268 | FATL | 17:.NET TP Worker | 23488:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10017512 B
16:10:04.424 | INFO | 07:.NET TP Worker | 23488:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10103280 B
